id_Uniprot;id_NCBI;protein_recommended_name;id_pfam
LOXE3_MOUSE;23801;Hydroperoxide isomerase ALOXE3;PF00305|PF01477
LOXH1_HUMAN;125336;Lipoxygenase homology domain-containing protein 1;PF01477
LOXH1_MOUSE;240411;Lipoxygenase homology domain-containing protein 1;PF01477
LOXL1_HUMAN;4016;Lysyl oxidase homolog 1;PF01186
LOXL1_MOUSE;16949;Lysyl oxidase homolog 1;PF01186
LOXL2_HUMAN;4017;Lysyl oxidase homolog 2;PF01186|PF00530
LOXL2_MOUSE;94352;Lysyl oxidase homolog 2;PF01186|PF00530
LOXL3_HUMAN;84695;Lysyl oxidase homolog 3;PF01186|PF00530
LOXL3_MOUSE;16950;Lysyl oxidase homolog 3;PF01186|PF00530
LOXL4_HUMAN;84171;Lysyl oxidase homolog 4;PF01186|PF00530
LOXL4_MOUSE;67573;Lysyl oxidase homolog 4;PF01186|PF00530
LOZEN_DROME;31883;Protein lozenge;PF00853
LPAR1_HUMAN;1902;Lysophosphatidic acid receptor 1;PF00001
LPAR1_MOUSE;14745;Lysophosphatidic acid receptor 1;PF00001
LPAR2_HUMAN;9170;Lysophosphatidic acid receptor 2;PF00001
LPAR3_HUMAN;23566;Lysophosphatidic acid receptor 3;PF00001
LPAR3_MOUSE;65086;Lysophosphatidic acid receptor 3;PF00001
LPAR4_HUMAN;2846;Lysophosphatidic acid receptor 4;PF00001
LPAR4_MOUSE;78134;Lysophosphatidic acid receptor 4;PF00001
LPAR5_HUMAN;57121;Lysophosphatidic acid receptor 5;PF00001
LPAR6_HUMAN;10161;Lysophosphatidic acid receptor 6;PF00001
LPAR6_MOUSE;67168;Lysophosphatidic acid receptor 6;PF00001
LPCT4_HUMAN;254531;Lysophospholipid acyltransferase LPCAT4;PF01553
LPCT4_MOUSE;99010;Lysophospholipid acyltransferase LPCAT4;PF01553
LPHN_DROME;35846;Latrophilin Cirl {ECO:0000303|PubMed:10798391, ECO:0000312|EMBL:AAF59067.3};PF16489|PF02140|PF01825
LPH_HUMAN;3938;Phlorizin hydrolase;PF00232
LPIN1_HUMAN;23175;Phosphatidate phosphatase LPIN1;PF16876|PF04571|PF08235
LPIN1_MOUSE;14245;Phosphatidate phosphatase LPIN1;PF16876|PF04571|PF08235
LPIN2_HUMAN;9663;Phosphatidate phosphatase LPIN2;PF16876|PF04571|PF08235
LPIN2_MOUSE;64898;Phosphatidate phosphatase LPIN2;PF16876|PF04571|PF08235
LPIN3_HUMAN;64900;Phosphatidate phosphatase LPIN3;PF16876|PF04571|PF08235
LPIN3_MOUSE;64899;Phosphatidate phosphatase LPIN3;PF16876|PF04571|PF08235
LPLA_SCHPO;2539766;Putative lipoate-protein ligase A;PF03099
LPLT1_CAEEL;174419;Latrophilin-like protein 1;PF00002|PF16489|PF02140|PF01825|PF02793
LPLT2_CAEEL;173771;Latrophilin-like protein LAT-2 {ECO:0000312|EMBL:CCD61661.1, ECO:0000312|WormBase:B0286.2b};PF00002|PF16489|PF02140|PF01825
LPP60_HUMAN;374569;Platelet-activating factor acetylhydrolase;PF12796|PF00710
LPP60_MOUSE;104816;Platelet-activating factor acetylhydrolase;PF00710
LPPRC_HUMAN;10128;Leucine-rich PPR motif-containing protein, mitochondrial;PF01535|PF13812|PF17177
LPPRC_MOUSE;72416;Leucine-rich PPR motif-containing protein, mitochondrial;PF01535|PF13812
LPP_HUMAN;4026;Lipoma-preferred partner;PF00412
LPP_MOUSE;210126;Lipoma-preferred partner homolog;PF00412
LPXN_HUMAN;9404;Leupaxin;PF00412
LPXN_MOUSE;107321;Leupaxin;PF00412
LR10B_HUMAN;390205;Leucine-rich repeat-containing protein 10B;PF13855
LR2BP_DANRE;100073340;LRP2-binding protein;PF08238
LR2BP_HUMAN;55805;LRP2-binding protein;PF08238
LR2BP_MOUSE;67620;LRP2-binding protein;PF08238|PF13181
LR37B_HUMAN;114659;Leucine-rich repeat-containing protein 37B;PF13855|PF15779|PF14914
LR74A_HUMAN;145497;Leucine-rich repeat-containing protein 74A;PF13516
LR74B_HUMAN;400891;Leucine-rich repeat-containing protein 74B;PF13516
LR74B_MOUSE;74685;Leucine-rich repeat-containing protein 74B;PF13516
LRAD1_HUMAN;388633;Low-density lipoprotein receptor class A domain-containing protein 1;PF00057
LRAD2_HUMAN;401944;Low-density lipoprotein receptor class A domain-containing protein 2;PF00057
LRAD3_HUMAN;143458;Low-density lipoprotein receptor class A domain-containing protein 3;PF00057
LRAD3_MOUSE;241576;Low-density lipoprotein receptor class A domain-containing protein 3;PF00057
LRAD4_HUMAN;753;Low-density lipoprotein receptor class A domain-containing protein 4;PF00057
LRAD4_MOUSE;52662;Low-density lipoprotein receptor class A domain-containing protein 4;PF00057
LRAT_HUMAN;9227;Lecithin retinol acyltransferase;PF04970
LRAT_MOUSE;79235;Lecithin retinol acyltransferase;PF04970
LRBA_HUMAN;987;Lipopolysaccharide-responsive and beige-like anchor protein;PF02138|PF06469|PF15787|PF14844
LRBA_MOUSE;80877;Lipopolysaccharide-responsive and beige-like anchor protein;PF02138|PF06469|PF15787|PF14844
LRC10_HUMAN;376132;Leucine-rich repeat-containing protein 10;PF13855
LRC10_MOUSE;237560;Leucine-rich repeat-containing protein 10;PF00560|PF13855
LRC14_HUMAN;9684;Leucine-rich repeat-containing protein 14;PF13516
LRC14_MOUSE;223664;Leucine-rich repeat-containing protein 14;PF13516
LRC15_HUMAN;131578;Leucine-rich repeat-containing protein 15;PF00560|PF13855
LRC15_MOUSE;74488;Leucine-rich repeat-containing protein 15;PF13855
LRC17_HUMAN;10234;Leucine-rich repeat-containing protein 17;PF13855
LRC17_MOUSE;74511;Leucine-rich repeat-containing protein 17;PF13855
LRC18_HUMAN;474354;Leucine-rich repeat-containing protein 18;PF13855
LRC18_MOUSE;67580;Leucine-rich repeat-containing protein 18;PF13855
LRC19_HUMAN;64922;Leucine-rich repeat-containing protein 19;PF13855
LRC19_MOUSE;100061;Leucine-rich repeat-containing protein 19;PF13855
LRC20_HUMAN;55222;Leucine-rich repeat-containing protein 20;PF00560|PF13855
LRC20_MOUSE;216011;Leucine-rich repeat-containing protein 20;PF13855
LRC23_HUMAN;10233;Leucine-rich repeat-containing protein 23;PF13516
LRC23_MOUSE;16977;Leucine-rich repeat-containing protein 23;PF13516
LRC24_HUMAN;441381;Leucine-rich repeat-containing protein 24;PF13855
LRC24_MOUSE;378937;Leucine-rich repeat-containing protein 24;PF13855
LRC25_MOUSE;211228;Leucine-rich repeat-containing protein 25;PF13855
LRC26_HUMAN;389816;Leucine-rich repeat-containing protein 26;PF13855
LRC26_MOUSE;227618;Leucine-rich repeat-containing protein 26;PF13855
LRC27_HUMAN;80313;Leucine-rich repeat-containing protein 27;PF13855
LRC27_MOUSE;76612;Leucine-rich repeat-containing protein 27;PF13855
LRC28_HUMAN;123355;Leucine-rich repeat-containing protein 28;PF13855
LRC28_MOUSE;67867;Leucine-rich repeat-containing protein 28;PF13855
LRC29_HUMAN;26231;Leucine-rich repeat-containing protein 29;PF00560|PF13516
LRC30_HUMAN;339291;Leucine-rich repeat-containing protein 30;PF13855
LRC30_MOUSE;240131;Leucine-rich repeat-containing protein 30;PF13855
LRC31_HUMAN;79782;Leucine-rich repeat-containing protein 31;PF13516
LRC32_HUMAN;2615;Leucine-rich repeat-containing protein 32;PF13855|PF01462
LRC34_HUMAN;151827;Leucine-rich repeat-containing protein 34;PF13516
LRC34_MOUSE;71827;Leucine-rich repeat-containing protein 34;PF13516
LRC38_HUMAN;126755;Leucine-rich repeat-containing protein 38;PF13855
LRC38_MOUSE;242735;Leucine-rich repeat-containing protein 38;PF13855
LRC39_DANRE;550456;Leucine-rich repeat-containing protein 39;PF13855
LRC39_HUMAN;127495;Leucine-rich repeat-containing protein 39;PF12799|PF13855
LRC39_MOUSE;109245;Leucine-rich repeat-containing protein 39;PF13855
LRC3B_DANRE;100037364;Leucine-rich repeat-containing protein 3B;PF00560|PF13855
LRC3B_HUMAN;116135;Leucine-rich repeat-containing protein 3B;PF00560|PF13855|PF01462
LRC3B_MOUSE;218763;Leucine-rich repeat-containing protein 3B;PF00560|PF13855|PF01462
LRC40_DANRE;334130;Leucine-rich repeat-containing protein 40;PF13855
LRC40_HUMAN;55631;Leucine-rich repeat-containing protein 40;PF12799|PF13855
LRC40_MOUSE;67144;Leucine-rich repeat-containing protein 40;PF12799|PF13855
LRC42_HUMAN;115353;Leucine-rich repeat-containing protein 42;PF13516
LRC42_MOUSE;77809;Leucine-rich repeat-containing protein 42;PF13516
LRC43_HUMAN;254050;Leucine-rich repeat-containing protein 43;PF13855
LRC45_HUMAN;201255;Leucine-rich repeat-containing protein 45;PF13516
LRC45_MOUSE;217366;Leucine-rich repeat-containing protein 45;PF13516
LRC47_HUMAN;57470;Leucine-rich repeat-containing protein 47;PF03483|PF13855
LRC47_MOUSE;72946;Leucine-rich repeat-containing protein 47;PF03483|PF12799|PF13855
LRC4B_HUMAN;94030;Leucine-rich repeat-containing protein 4B;PF07679|PF00560|PF13855
LRC4B_MOUSE;272381;Leucine-rich repeat-containing protein 4B;PF07679|PF00560|PF13855
LRC4C_HUMAN;57689;Leucine-rich repeat-containing protein 4C;PF07679|PF13306|PF13855
LRC4C_MOUSE;241568;Leucine-rich repeat-containing protein 4C;PF07679|PF13306|PF13855
LRC52_HUMAN;440699;Leucine-rich repeat-containing protein 52;PF13855
LRC52_MOUSE;240899;Leucine-rich repeat-containing protein 52;PF13855
LRC53_HUMAN;105378803;Leucine-rich repeat-containing protein 53;PF13855
LRC55_HUMAN;219527;Leucine-rich repeat-containing protein 55;PF13855
LRC55_MOUSE;241528;Leucine-rich repeat-containing protein 55;PF13855
LRC56_MOUSE;70552;Leucine-rich repeat-containing protein 56;PF12799
LRC57_DANRE;436900;Leucine-rich repeat-containing protein 57;PF13855
LRC57_HUMAN;255252;Leucine-rich repeat-containing protein 57;PF00560|PF13855
LRC58_HUMAN;116064;Leucine-rich repeat-containing protein 58;PF13855
LRC58_MOUSE;320184;Leucine-rich repeat-containing protein 58;PF13855
LRC59_DANRE;405868;Leucine-rich repeat-containing protein 59;PF13855
LRC59_HUMAN;55379;Leucine-rich repeat-containing protein 59;PF13855
LRC59_MOUSE;98238;Leucine-rich repeat-containing protein 59;PF13855
LRC63_HUMAN;220416;Leucine-rich repeat-containing protein 63;PF13855
LRC63_MOUSE;70859;Leucine-rich repeat-containing protein 63;PF13855
LRC66_HUMAN;339977;Leucine-rich repeat-containing protein 66;PF00560|PF13855
LRC66_MOUSE;231296;Leucine-rich repeat-containing protein 66;PF13855
LRC69_HUMAN;100130742;Leucine-rich repeat-containing protein 69;PF13855
LRC69_MOUSE;73314;Leucine-rich repeat-containing protein 69;PF13855
LRC71_HUMAN;149499;Leucine-rich repeat-containing protein 71;PF13516
LRC71_MOUSE;74485;Leucine-rich repeat-containing protein 71;PF13516
LRC8A_HUMAN;56262;Volume-regulated anion channel subunit LRRC8A;PF13855|PF12534
LRC8A_MOUSE;241296;Volume-regulated anion channel subunit LRRC8A;PF13855|PF12534
LRC8B_HUMAN;23507;Volume-regulated anion channel subunit LRRC8B;PF13306|PF13855|PF12534
LRC8B_MOUSE;433926;Volume-regulated anion channel subunit LRRC8B;PF13855|PF12534
LRC8C_HUMAN;84230;Volume-regulated anion channel subunit LRRC8C;PF13306|PF13855|PF12534
LRC8C_MOUSE;100604;Volume-regulated anion channel subunit LRRC8C;PF13855|PF12534
LRC8D_HUMAN;55144;Volume-regulated anion channel subunit LRRC8D;PF13855|PF12534
LRC8D_MOUSE;231549;Volume-regulated anion channel subunit LRRC8D;PF13855|PF12534
LRC8E_HUMAN;80131;Volume-regulated anion channel subunit LRRC8E;PF13855|PF12534
LRC8E_MOUSE;72267;Volume-regulated anion channel subunit LRRC8E;PF13855|PF12534
LRCH1_HUMAN;23143;Leucine-rich repeat and calponin homology domain-containing protein 1;PF00307|PF13855
LRCH1_MOUSE;380916;Leucine-rich repeat and calponin homology domain-containing protein 1;PF00307|PF13855
LRCH2_HUMAN;57631;Leucine-rich repeat and calponin homology domain-containing protein 2;PF00307|PF13855
LRCH2_MOUSE;210297;Leucine-rich repeat and calponin homology domain-containing protein 2;PF00307|PF13855
LRCH3_HUMAN;84859;Leucine-rich repeat and calponin homology domain-containing protein 3;PF00307|PF13855
LRCH3_MOUSE;70144;Leucine-rich repeat and calponin homology domain-containing protein 3;PF00307|PF13855
LRCH4_HUMAN;4034;Leucine-rich repeat and calponin homology domain-containing protein 4;PF00307|PF13855
LRCH4_MOUSE;231798;Leucine-rich repeat and calponin homology domain-containing protein 4;PF00307|PF13855
LRFN1_DANRE;393587;Leucine-rich repeat and fibronectin type III domain-containing protein 1;PF13855
LRFN1_HUMAN;57622;Leucine-rich repeat and fibronectin type III domain-containing protein 1;PF00041|PF07679|PF13855
LRFN1_MOUSE;80749;Leucine-rich repeat and fibronectin type III domain-containing protein 1;PF00041|PF07679|PF13855
LRFN2_HUMAN;57497;Leucine-rich repeat and fibronectin type-III domain-containing protein 2;PF00041|PF07679|PF13855
LRFN2_MOUSE;70530;Leucine-rich repeat and fibronectin type-III domain-containing protein 2;PF00041|PF07679|PF13855
LRFN3_HUMAN;79414;Leucine-rich repeat and fibronectin type-III domain-containing protein 3;PF00041|PF07679|PF13855
LRFN3_MOUSE;233067;Leucine-rich repeat and fibronectin type-III domain-containing protein 3;PF00041|PF07679|PF13855
LRFN4_HUMAN;78999;Leucine-rich repeat and fibronectin type-III domain-containing protein 4;PF00041|PF07679|PF13855
LRFN4_MOUSE;225875;Leucine-rich repeat and fibronectin type-III domain-containing protein 4;PF00041|PF07679|PF13855
LRFN5_HUMAN;145581;Leucine-rich repeat and fibronectin type-III domain-containing protein 5;PF07679|PF13306
LRFN5_MOUSE;238205;Leucine-rich repeat and fibronectin type-III domain-containing protein 5;PF07679|PF13306
LRGUK_HUMAN;136332;Leucine-rich repeat and guanylate kinase domain-containing protein;PF00625
LRGUK_MOUSE;74354;Leucine-rich repeat and guanylate kinase domain-containing protein;PF00625
LRIF1_HUMAN;55791;Ligand-dependent nuclear receptor-interacting factor 1;PF15741
LRIF1_MOUSE;321000;Ligand-dependent nuclear receptor-interacting factor 1;PF15741
LRIG1_HUMAN;26018;Leucine-rich repeats and immunoglobulin-like domains protein 1;PF07679|PF13855|PF01463
LRIG1_MOUSE;16206;Leucine-rich repeats and immunoglobulin-like domains protein 1;PF07679|PF13855|PF01463|PF01462
LRIG2_HUMAN;9860;Leucine-rich repeats and immunoglobulin-like domains protein 2;PF07679|PF13855|PF01463
LRIG2_MOUSE;269473;Leucine-rich repeats and immunoglobulin-like domains protein 2;PF07679|PF13855|PF01463
LRIG3_HUMAN;121227;Leucine-rich repeats and immunoglobulin-like domains protein 3;PF07679|PF13855
LRIG3_MOUSE;320398;Leucine-rich repeats and immunoglobulin-like domains protein 3;PF07679|PF13855
LRIQ1_HUMAN;84125;Leucine-rich repeat and IQ domain-containing protein 1;PF00612
LRIQ1_MOUSE;74978;Leucine-rich repeat and IQ domain-containing protein 1;PF00612|PF13855
LRIQ3_HUMAN;127255;Leucine-rich repeat and IQ domain-containing protein 3;PF12799
LRIQ3_MOUSE;74435;Leucine-rich repeat and IQ domain-containing protein 3;PF12799
LRIQ4_HUMAN;344657;Leucine-rich repeat and IQ domain-containing protein 4;PF12799|PF13855
LRIQ4_MOUSE;68307;Leucine-rich repeat and IQ domain-containing protein 4;PF00612|PF13855
LRIT1_HUMAN;26103;Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1;PF00041|PF07679|PF13855
LRIT1_MOUSE;239037;Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1;PF00041|PF13855
LRIT2_DANRE;553557;Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2;PF13855
LRIT2_HUMAN;340745;Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2;PF13855
LRIT2_MOUSE;239038;Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2;PF13855
LRIT3_HUMAN;345193;Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3;PF13855
LRIT3_MOUSE;242235;Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3;PF13855
LRK1_CAEEL;172995;Leucine-rich repeat serine/threonine-protein kinase 1;PF12796|PF16095|PF13855|PF00069
LRMP_DANRE;567234;Lymphoid-restricted membrane protein;PF14662|PF05781
LRMP_HUMAN;4033;Lymphoid-restricted membrane protein;PF05781
LRMP_MOUSE;16970;Lymphoid-restricted membrane protein;PF05781
LRN4L_MOUSE;68852;LRRN4 C-terminal-like protein;PF00041
LRP10_HUMAN;26020;Low-density lipoprotein receptor-related protein 10;PF00431|PF00057
LRP10_MOUSE;65107;Low-density lipoprotein receptor-related protein 10;PF00431|PF00057
LRP11_HUMAN;84918;Low-density lipoprotein receptor-related protein 11;PF00057|PF07502
LRP11_MOUSE;237253;Low-density lipoprotein receptor-related protein 11;PF00057|PF07502
LRP12_HUMAN;29967;Low-density lipoprotein receptor-related protein 12;PF00431|PF00057
LRP12_MOUSE;239393;Low-density lipoprotein receptor-related protein 12;PF00431|PF00057
LRP1B_HUMAN;53353;Low-density lipoprotein receptor-related protein 1B;PF12662|PF16472|PF00008|PF07645|PF00057|PF00058
LRP1_HUMAN;4035;Prolow-density lipoprotein receptor-related protein 1;PF12662|PF16472|PF07645|PF00057|PF00058
LRP1_MOUSE;16971;Prolow-density lipoprotein receptor-related protein 1;PF12662|PF16472|PF00008|PF07645|PF00057|PF00058
LRP2_HUMAN;4036;Low-density lipoprotein receptor-related protein 2;PF12662|PF07645|PF00057|PF00058
LRP2_MOUSE;14725;Low-density lipoprotein receptor-related protein 2;PF12662|PF07645|PF00057|PF00058
LRP3_HUMAN;4037;Low-density lipoprotein receptor-related protein 3;PF00431|PF00057
LRP4_HUMAN;4038;Low-density lipoprotein receptor-related protein 4;PF12662|PF00057|PF00058
LRP4_MOUSE;228357;Low-density lipoprotein receptor-related protein 4;PF12662|PF00057|PF00058
LRP5L_HUMAN;91355;Low-density lipoprotein receptor-related protein 5-like protein;PF00058
LRP5_HUMAN;4041;Low-density lipoprotein receptor-related protein 5;PF00057|PF00058
LRP5_MOUSE;16973;Low-density lipoprotein receptor-related protein 5;PF00057|PF00058
LRP6_HUMAN;4040;Low-density lipoprotein receptor-related protein 6;PF00057|PF00058
LRP6_MOUSE;16974;Low-density lipoprotein receptor-related protein 6;PF00057|PF00058
LRP8_HUMAN;7804;Low-density lipoprotein receptor-related protein 8;PF00057|PF00058
LRP8_MOUSE;16975;Low-density lipoprotein receptor-related protein 8;PF07645|PF00057|PF00058
LRP_CAEEL;172520;Low-density lipoprotein receptor-related protein;PF00057|PF00058
LRR3C_HUMAN;100505591;Leucine-rich repeat-containing protein 3C;PF13855
LRR70_HUMAN;100130733;Leucine-rich repeat-containing protein 70;PF13855
LRRC1_HUMAN;55227;Leucine-rich repeat-containing protein 1;PF13855
LRRC1_MOUSE;214345;Leucine-rich repeat-containing protein 1;PF13855
LRRC2_HUMAN;79442;Leucine-rich repeat-containing protein 2;PF13855
LRRC2_MOUSE;74249;Leucine-rich repeat-containing protein 2;PF12799|PF13855
LRRC3_DANRE;100001372;Leucine-rich repeat-containing protein 3;PF13855|PF01462
LRRC3_HUMAN;81543;Leucine-rich repeat-containing protein 3;PF00560|PF13855|PF01462
LRRC3_MOUSE;237387;Leucine-rich repeat-containing protein 3;PF13855|PF01462
LRRC4_HUMAN;64101;Leucine-rich repeat-containing protein 4;PF07679|PF13855
LRRC4_MOUSE;192198;Leucine-rich repeat-containing protein 4;PF07679|PF13855
LRRC7_HUMAN;57554;Leucine-rich repeat-containing protein 7;PF13855|PF00595
LRRC7_MOUSE;242274;Leucine-rich repeat-containing protein 7;PF13855|PF00595
LRRD1_HUMAN;401387;Leucine-rich repeat and death domain-containing protein 1;PF00560|PF13855
LRRD1_MOUSE;242838;Leucine-rich repeat and death domain-containing protein 1;PF13855
LRRF1_HUMAN;9208;Leucine-rich repeat flightless-interacting protein 1;PF09738
LRRF1_MOUSE;16978;Leucine-rich repeat flightless-interacting protein 1;PF09738
LRRF2_HUMAN;9209;Leucine-rich repeat flightless-interacting protein 2;PF09738
LRRF2_MOUSE;71268;Leucine-rich repeat flightless-interacting protein 2;PF09738
LRRK1_HUMAN;79705;Leucine-rich repeat serine/threonine-protein kinase 1;PF16095|PF00069
LRRK1_MOUSE;233328;Leucine-rich repeat serine/threonine-protein kinase 1;PF12796|PF16095|PF13855|PF00069
LRRK2_HUMAN;120892;Leucine-rich repeat serine/threonine-protein kinase 2;PF16095|PF12799|PF13855|PF00069
LRRK2_MOUSE;66725;Leucine-rich repeat serine/threonine-protein kinase 2;PF16095|PF12799|PF13855|PF00069
LRRN1_HUMAN;57633;Leucine-rich repeat neuronal protein 1;PF07679|PF13855
LRRN1_MOUSE;16979;Leucine-rich repeat neuronal protein 1;PF07679|PF13855|PF01463
LRRN2_HUMAN;10446;Leucine-rich repeat neuronal protein 2;PF07679|PF13855
LRRN3_HUMAN;54674;Leucine-rich repeat neuronal protein 3;PF00041|PF07679|PF13855
LRRN3_MOUSE;16981;Leucine-rich repeat neuronal protein 3;PF00041|PF07679|PF13855
LRRN4_HUMAN;164312;Leucine-rich repeat neuronal protein 4;PF00041|PF13855
LRRN4_MOUSE;320974;Leucine-rich repeat neuronal protein 4;PF00041|PF13855
LRRT1_HUMAN;347730;Leucine-rich repeat transmembrane neuronal protein 1;PF13855
LRRT1_MOUSE;74342;Leucine-rich repeat transmembrane neuronal protein 1;PF13855
LRRT2_HUMAN;26045;Leucine-rich repeat transmembrane neuronal protein 2;PF13855
LRRT2_MOUSE;107065;Leucine-rich repeat transmembrane neuronal protein 2;PF13855
LRRT3_HUMAN;347731;Leucine-rich repeat transmembrane neuronal protein 3;PF13855
LRRT3_MOUSE;216028;Leucine-rich repeat transmembrane neuronal protein 3;PF13855
LRRT4_HUMAN;80059;Leucine-rich repeat transmembrane neuronal protein 4;PF13855
LRRT4_MOUSE;243499;Leucine-rich repeat transmembrane neuronal protein 4;PF00560|PF13855
LRSM1_HUMAN;90678;E3 ubiquitin-protein ligase LRSAM1;PF13855|PF07647
LRSM1_MOUSE;227738;E3 ubiquitin-protein ligase LRSAM1;PF13855|PF00536
LRTM1_HUMAN;57408;Leucine-rich repeat and transmembrane domain-containing protein 1;PF13855
LRTM1_MOUSE;319476;Leucine-rich repeat and transmembrane domain-containing protein 1;PF00560|PF13855
LRTM2_HUMAN;654429;Leucine-rich repeat and transmembrane domain-containing protein 2;PF13855|PF01462
LRTM2_MOUSE;211187;Leucine-rich repeat and transmembrane domain-containing protein 2;PF13855|PF01462
LRWD1_DANRE;327124;Leucine-rich repeat and WD repeat-containing protein 1;PF12799
LRWD1_HUMAN;222229;Leucine-rich repeat and WD repeat-containing protein 1;PF12799
LRWD1_MOUSE;71735;Leucine-rich repeat and WD repeat-containing protein 1;PF12799|PF00400
LS12A_DANRE;406422;Protein LSM12 homolog A;PF09793
LS12A_DROME;32167;Protein LSM12 homolog A;PF09793
LS12B_DANRE;407986;Protein LSM12 homolog B;PF09793
LS12B_DROME;39167;Protein LSM12 homolog B;PF09793
LS14A_HUMAN;26065;Protein LSM14 homolog A;PF09532|PF12701
LS14A_MOUSE;67070;Protein LSM14 homolog A;PF09532|PF12701
LS14B_HUMAN;149986;Protein LSM14 homolog B;PF09532|PF12701
LS14B_MOUSE;241846;Protein LSM14 homolog B;PF09532|PF12701
LSAMP_HUMAN;4045;Limbic system-associated membrane protein;PF07679
LSAMP_MOUSE;268890;Limbic system-associated membrane protein;PF07679
LSB5_SCHPO;2540327;Protein lsb5;PF00790
LSD1_CAEEL;173214;Probable lysine-specific histone demethylase 1;PF01593|PF04433
LSD1_DROME;42810;Lipid storage droplets surface-binding protein 1;PF03036
LSD1_SCHPO;2539805;Lysine-specific histone demethylase 1;PF01593|PF04433
LSD2_DROME;32437;Lipid storage droplets surface-binding protein 2;PF03036
LSD2_SCHPO;2541832;Lysine-specific histone demethylase 2;PF01593|PF04433
LSDA_DROME;40217;Possible lysine-specific histone demethylase 1;PF01593|PF04433
LSG1_DANRE;323464;Large subunit GTPase 1 homolog;PF01926
LSG1_DROME;31097;Large subunit GTPase 1 homolog;PF01926
LSG1_HUMAN;55341;Large subunit GTPase 1 homolog;PF01926
LSG1_MOUSE;224092;Large subunit GTPase 1 homolog;PF01926
LSG1_SCHPO;2541449;Large subunit GTPase 1;PF01926
LSHB_HUMAN;3972;Lutropin subunit beta;PF00007
LSHR_HUMAN;3973;Lutropin-choriogonadotropic hormone receptor;PF00001|PF13306
LSHR_MOUSE;16867;Lutropin-choriogonadotropic hormone receptor;PF00001|PF13306
LSM10_HUMAN;84967;U7 snRNA-associated Sm-like protein LSm10;PF01423
LSM10_MOUSE;116748;U7 snRNA-associated Sm-like protein LSm10;PF01423
LSM12_HUMAN;124801;Protein LSM12 homolog;PF09793
LSM12_MOUSE;268490;Protein LSM12 homolog;PF09793
LSM1_HUMAN;27257;U6 snRNA-associated Sm-like protein LSm1;PF01423
LSM1_MOUSE;67207;U6 snRNA-associated Sm-like protein LSm1;PF01423
LSM1_SCHPO;2540520;U6 snRNA-associated Sm-like protein LSm1;PF01423
LSM2_HUMAN;57819;U6 snRNA-associated Sm-like protein LSm2;PF01423
LSM2_MOUSE;27756;U6 snRNA-associated Sm-like protein LSm2;PF01423
LSM2_SCHPO;2538804;U6 snRNA-associated Sm-like protein LSm2;PF01423
LSM3_HUMAN;27258;U6 snRNA-associated Sm-like protein LSm3;PF01423
LSM3_MOUSE;67678;U6 snRNA-associated Sm-like protein LSm3;PF01423
LSM3_SCHPO;2540212;Probable U6 snRNA-associated Sm-like protein LSm3;PF01423
LSM4_CAEEL;174193;Probable U6 snRNA-associated Sm-like protein LSm4;PF01423
LSM4_HUMAN;25804;U6 snRNA-associated Sm-like protein LSm4;PF01423
LSM4_MOUSE;50783;U6 snRNA-associated Sm-like protein LSm4;PF01423
LSM5_HUMAN;23658;U6 snRNA-associated Sm-like protein LSm5;PF01423
LSM5_MOUSE;66373;U6 snRNA-associated Sm-like protein LSm5;PF01423
LSM5_SCHPO;2540723;U6 snRNA-associated Sm-like protein LSm5;PF01423
LSM6_HUMAN;11157;U6 snRNA-associated Sm-like protein LSm6;PF01423
LSM6_MOUSE;78651;U6 snRNA-associated Sm-like protein LSm6;PF01423
LSM6_SCHPO;2541997;U6 snRNA-associated Sm-like protein LSm6;PF01423
LSM7_HUMAN;51690;U6 snRNA-associated Sm-like protein LSm7;PF01423
LSM7_MOUSE;66094;U6 snRNA-associated Sm-like protein LSm7;PF01423
LSM7_SCHPO;2538964;U6 snRNA-associated Sm-like protein LSm7;PF01423
LSM8_HUMAN;51691;U6 snRNA-associated Sm-like protein LSm8;PF01423
LSM8_MOUSE;76522;U6 snRNA-associated Sm-like protein LSm8;PF01423
LSM8_SCHPO;2539322;U6 snRNA-associated Sm-like protein LSm8;PF01423
LSMD1_DANRE;335819;N-alpha-acetyltransferase 38, NatC auxiliary subunit;PF01423
LSMD1_HUMAN;84316;N-alpha-acetyltransferase 38, NatC auxiliary subunit;PF01423
LSMD1_MOUSE;78304;N-alpha-acetyltransferase 38, NatC auxiliary subunit;PF01423
LSME1_HUMAN;286006;Leucine-rich single-pass membrane protein 1;PF15145
LSME1_MOUSE;380755;Leucine-rich single-pass membrane protein 1;PF15145
LSME2_HUMAN;132228;Leucine-rich single-pass membrane protein 2;PF15833
LSP1A_DROME;32199;Larval serum protein 1 alpha chain;PF03723|PF00372|PF03722
LSP1B_DROME;33274;Larval serum protein 1 beta chain;PF03723|PF00372|PF03722
